Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Croatia,HRV,22607054.99841534,23828165.999055605,22592387.00025829,21165924.001526717,20172167.001192607,19915476.99830002,18045306.99964982,17601599.9994709,16904869.99853523,17311907.001457136,17487923.001318585
Haiti,HTI,2112191.99759446,2390884.004377568,2398218.00247064,2269872.9978607097,2126859.99738748,2093856.9985219198,2200199.99579112,2306543.00228799,2808921.9990205443,2933599.998615,2977603.9992157198
Hungary,HUN,57384883.00308506,55980421.99609496,54788646.99912812,48510743.0042972,50223232.00316793,48587750.000940226,45206776.00175537,42306178.99537678,41341757.99682141,44418370.99524724,45536806.00066498
IBRD only,IBD,15023119591.99495,15419500288.086323,16746194083.269152,16721105622.390106,18251850762.667908,19638235272.77481,20305468496.79014,20457579077.5167,20731983024.767025,20741010364.34378,20735686572.65261
IDA & IBRD total,IBT,15675953593.173157,16109569735.740223,17450384113.12826,17396251130.831684,18997748101.848106,20428723534.750847,21080483747.017082,21246504435.30702,21559436243.212074,21580969043.158237,21601111331.293514
IDA total,IDA,650094045.4800637,687626573.850328,700620903.2503604,671438536.0967218,741922219.0384759,786115515.0024458,770157851.5361863,784083128.1220975,822720969.715665,835298758.6896513,860923185.8100665
IDA blend,IDB,396743731.0677139,409732244.8818022,411228380.96871376,376215865.0064861,424348907.0747542,456908200.18816054,442386879.9329355,444532074.9955055,463831496.13865435,459596111.0264732,465496314.0313009
Indonesia,IDN,345119705.00191283,375544804.02157277,416560199.09226745,446420580.05825907,428760308.1174773,509969690.024174,529632144.07598656,415012724.8833386,369945294.9360552,512749276.10638,563324539.8986948
IDA only,IDX,251222886.36015883,276066836.4498005,287796790.6066865,293965433.9341833,316052675.2477813,327485325.53944236,326163739.9626655,337979278.8335929,357268970.2683861,374182207.7187966,393950157.14138305
Isle of Man,IMN,,,,,,,,,,,
India,IND,1303717509.3436487,1407607286.424316,1568379566.7453427,1738645711.2371998,1719690987.7452307,1836561944.4910371,2013788055.3536785,2030971616.3758898,2232729956.3913,2337749169.968787,2407671525.4818883
Not classified,INX,,,,,,,,,,,
Ireland,IRL,43145921.99582826,44469708.98055528,43083583.001231074,40480012.99890113,40058308.00224147,35635906.000895284,35588234.99925709,34873169.99894697,34004091.00012126,35907264.00232,37711428.00035162
"Iran, Islamic Rep.",IRN,509338965.9987212,519324207.02522326,541582896.9781889,554278051.0244035,573031089.0090303,589055878.9805514,611761942.9989492,619524982.0009695,652392302.9850371,650078425.9886925,661710149.9696317
Iraq,IRQ,98770644.99018331,62155649.999205925,93149133.99673337,104546170.01123567,112195532.0110181,136830438.0032006,154446706.0059168,165612721.0039146,166628479.98729438,167273871.98771462,190060610.0002316
Iceland,ISL,2299209.000107308,2310209.999928964,2119525.999841616,2053520.000070729,1961845.000020026,1881170.9999067062,1873836.9999616959,1899505.999930616,1983846.9998481022,1987514.0000996902,2064520.9999854178
Israel,ISR,62471012.00136161,63072399.999848,68264872.0034432,64469526.9980136,68880927.9991944,69130283.9970582,75529198.99712199,66039002.997380994,62881715.9984381,66207685.0007722,65166257.004106
Italy,ITA,469346664.0187665,462676390.9862449,447186983.01541305,401591504.9779624,405361180.9880857,397994178.0100747,369468584.9731982,345317723.0267083,320411458.97550404,,
Jamaica,JAM,11496045.00080829,9651544.000090532,10007242.999373293,7601690.999217744,7161651.000267839,7730035.999125955,7370669.999716943,8001394.001272686,7293663.000276224,7572354.999608449,8225081.001109992
Jordan,JOR,21121920.0010164,22035003.00146376,21349274.001495983,21891989.9979451,21180591.99804078,21668303.00234458,24444222.003490016,24462556.995854102,26571082.00329996,26200714.999234777,25107949.0013824
Japan,JPN,1234755906.996348,1251554433.948627,1211756483.048176,1105314473.999263,1172611258.04592,1190469548.057667,1229622106.957056,1244616470.04475,1206674021.017224,1163803124.034502,1135886252.985569
Kazakhstan,KAZ,192631177.043437,222348544.95027423,232806829.05438,213338725.96776024,248549260.01788175,259058882.01668885,242971752.98707223,262846893.042286,248395246.0216199,242091672.91837296,247207137.9967203
Kenya,KEN,9574536.989887,9831226.993780078,10241931.01337863,12354122.988764897,12174440.009296559,13457889.988812728,12541139.98249734,13333211.978315622,14436978.997780245,17018547.00211072,17909627.98207128
Kyrgyz Republic,KGZ,5507834.0003368,6629935.9984276,7660363.0012161005,6791284.0001954995,6384246.998418501,7656695.999643601,10131921.0011936,9842228.0016936,10289601.99982,10447283.000645,9787223.000772001
Cambodia,KHM,2999606.004314934,3465315.004818248,3898020.9992706296,4679092.002777192,5126465.998162456,5218141.002490065,5456496.005531063,5603176.001856039,6684940.997043255,8628451.003919125,9919234.997922737
Kiribati,KIR,66006.000005679,58672.00003921799,66006.000020662,55004.9999531,58671.999958671004,55005.000018696,51338.000042340005,51337.999985,58672.000026314,62338.99997558,66006.00002664
St. Kitts and Nevis,KNA,201684.99999376302,216352.999979376,216353.00000469998,223687.000017125,220020.000006333,231021.00001407,220019.999995497,223686.999998496,231020.99997812,234688.00002529199,238354.99998255502
"Korea, Rep.",KOR,470655782.9829454,495675724.0480915,507589806.94982487,508862255.91485417,566716515.1504825,589400576.7953297,583966082.8867897,592499191.9958701,587156373.0334852,597354300.0065252,620302386.1112933
Kuwait,KWT,73769038.99210945,75235839.0090384,82731187.00760266,87303936.01172115,89625147.00185564,86658544.0029792,100516136.98438846,94821286.0156968,88371032.99218053,92984119.01057945,98733974.99558124
Latin America & Caribbean (excluding high income),LAC,1415337322.1707873,1431736145.944087,1516425510.7266963,1485883067.7490885,1562391355.8600607,1577180367.2821765,1650282012.2246773,1683343684.0607233,1714043808.0432608,1691612768.709207,1657513336.0125227
Lao PDR,LAO,1796830.0009036518,1877504.002307816,2174530.99730874,2783253.0017023683,3142619.00250129,3325969.002284769,3582658.99692192,4184046.997122608,4554414.001413324,9046489.002906725,17762947.997558065
Lebanon,LBN,14458980.999925546,13461556.999734,17227565.997959092,20872563.999442212,20047488.998203192,20469194.001075633,22632724.002394807,22581386.002891406,24070187.99779671,24469891.000159636,24796253.998139415
Liberia,LBR,689396.00161179,645391.999508254,546382.99891116,484043.999957235,770069.999901692,861744.9985881951,979089.001020735,898415.000961442,1224778.00210041,1239446.0000822898,1386125.998844692
Libya,LBY,53270509.0024584,49959207.99878053,56013424.998381056,57978936.99731703,61961299.002176136,39702609.00250509,52683788.997438,56266447.99709327,59489740.99970322,56996180.99730695,50564262.99977156
St. Lucia,LCA,366699.999957585,385034.99998671195,396036.000030789,385034.999990823,403370.00004488503,407036.999940816,407037.000010158,407036.999949867,407037.000045144,410704.00007543806,414371.000081064
Latin America & Caribbean,LCN,1567338859.8540583,1593209145.7599795,1681479261.0174413,1645991820.9424906,1731757159.6968615,1754657445.7518713,1828721423.6596262,1865757204.8483691,1890997746.352771,1872709985.2111511,1836828149.618982
Least developed countries: UN classification,LDC,173509871.53408366,183973865.04813704,194997231.4223655,212568984.1047225,232773516.8204428,246463224.88854456,252616321.69946456,271433462.8553349,304868848.53334767,308726492.39424664,329491001.99511313
Low income,LIC,201797577.50976357,207668272.37802234,222068875.95296896,206351905.54296118,205307890.11688924,190135623.35924128,177906269.4364892,170766745.53746676,178942288.58250654,164565645.07719773,168202973.8667081
Liechtenstein,LIE,,69673.000002606,69673.000003416,55004.999989935,58672.000011282,51337.999989457,55005.000002625005,55005.000004648,47670.999991856006,51338.00000487,51338.00000665
Sri Lanka,LKA,11976421.996465104,12354123.001486264,12207443.004970754,13175531.00165148,13263539.000756605,15137376.004500719,16061460.006174998,14913689.001965,17924295.997428,20113495.00803,23362457.000701003
Lower middle income,LMC,2738801626.4518385,2888209873.839039,3078791197.456517,3200253240.0922065,3316893173.8336997,3499128408.2748404,3714344635.9340315,3736262297.1378984,3982717699.202345,4101458827.2146997,4229048424.7878656
Low & middle income,LMY,15210105341.2548,15626291366.62623,16980642751.197199,16947335229.858685,18528063031.736687,19926213884.573345,20601083132.82132,20759881737.618553,21100461770.10458,21111363006.52676,21122425725.94544
Lesotho,LSO,2038851.99911085,2075521.999264448,2126860.000610128,2218534.999410444,2277206.999442515,2328544.999103292,2398218.00016963,2423887.0007363637,2431220.99990539,2346879.999201199,2511895.000351224
Late-demographic dividend,LTE,10689357027.232851,10920929652.65637,11936222506.65973,11727906590.76202,13224873841.934763,14358166207.34143,14801401893.697117,15046640901.997581,15094428998.370028,14877212334.731024,14680565304.382967
Lithuania,LTU,14158286.99982974,15166712.000515284,15009030.99872919,12519137.999886211,13468891.000188446,13787919.999358766,13831924.001240456,12640148.999645293,12838166.999711141,13083855.99873042,12962845.001256557
Luxembourg,LUX,11349365.00112305,11019334.999821031,10938661.000303,10392277.99849811,10967996.9992174,10894656.99803143,10593963.00007812,10051246.9976256,9662544.99737829,9251840.99900928,8987816.99750284
Latvia,LVA,8012395.000535923,8316756.000009175,7902384.999465432,7231324.000360042,8074733.999502525,7293662.999940388,7062642.000099813,7080977.000712887,6926963.000019972,7007636.999317444,7003969.999112466
