,IncomeLevel,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,avgEmission
93,High income,HIC,13800439232.205845,13875575833.13688,13687132597.20594,12955610945.342707,13385297820.988682,13148467698.236906,13065658378.955772,13071380870.181768,12985312237.156359,12909274530.450626,12669307100.15975,13232132476.7292
134,Low income,LIC,201797577.50976357,207668272.37802234,222068875.95296896,206351905.54296118,205307890.11688924,190135623.35924128,177906269.4364892,170766745.53746676,178942288.58250654,164565645.07719773,168202973.8667081,190337642.48729226
137,Lower middle income,LMC,2738801626.4518385,2888209873.839039,3078791197.456517,3200253240.0922065,3316893173.8336997,3499128408.2748404,3714344635.9340315,3736262297.1378984,3982717699.202345,4101458827.2146997,4229048424.7878656,3498719036.747726
154,Middle income,MIC,15005890965.36053,15416150684.921694,16755752208.862967,16737726548.019989,18318574331.426117,19730644719.8792,20416988932.243137,20582683138.16771,20915106074.573334,20940045981.89602,20947548431.347904,18706101092.427147
247,Upper middle income,UMC,12267101954.670305,12527912234.878859,13676765563.75345,13537474464.492182,15001684624.603672,16231521876.83719,16702651111.492355,16846429615.239454,16932394207.163828,16838587437.892994,16718489880.704058,15207364815.61167
