,IncomeLevel,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,avgEmission
93,High income,HIC,13800439232,13875575833,13687132597,12955610945,13385297821,13148467698,13065658379,13071380870,12985312237,12909274530,12669307100,13232132477
134,Low income,LIC,201797577.5,207668272.4,222068876,206351905.5,205307890.1,190135623.4,177906269.4,170766745.5,178942288.6,164565645.1,168202973.9,190337642.5
137,Lower middle income,LMC,2738801626,2888209874,3078791197,3200253240,3316893174,3499128408,3714344636,3736262297,3982717699,4101458827,4229048425,3498719037
154,Middle income,MIC,15005890965,15416150685,16755752209,16737726548,18318574331,19730644720,20416988932,20582683138,20915106075,20940045982,20947548431,18706101092
247,Upper middle income,UMC,12267101955,12527912235,13676765564,13537474464,15001684625,16231521877,16702651111,16846429615,16932394207,16838587438,16718489881,15207364816
